Producto,Precio optimo,Demanda esperada
100% Juice Box Variety 6.75 oz ,12.0,4.333333333333333
A&W Root Beer - 12 oz cans,9.2,6.666666666666667
A&W Root Beer Diet - 12 oz cans,8.1,7.0
Advil 2 pill packets,11.2,10.0
All Purpose Cleaner 409 Spray,14.4,3.6666666666666665
Altoids Small Packs Variety,14.4,6.333333333333333
Apple Sauce Variety GoGO Squeeze 3.2oz,16.8,9.666666666666666
AquaFina Purified Drinking Water 16oz,10.8,8.333333333333334
Austin Cookie Cracker Variety,11.2,4.0
Austin Toasty Crackers w/ PBtr,11.2,8.333333333333334
Baked Chips Variety Mix Frito,12.8,8.333333333333334
Barq's Root Beer - 12 oz cans,5.4,9.0
Belvita Hard Biscuits Blueberry,10.4,5.666666666666667
Belvita Hard Biscuits Cinnamon,10.4,5.0
Belvita Protein Oats Soft Biscuit,11.2,7.666666666666667
"Blue Diamond Almonds Rstd, Sltd",4.8,7.666666666666667
Bounty Paper Towels Select a Size ,20.8,7.0
Breath Savers Peppermints 12/roll ,19.2,5.0
Brisk Lemon Iced Tea - 12 oz cans,12.4,7.0
Cascade Gel Packs Dishwasher,16.0,6.0
Cascade Gel w/ Dawn Dishwasher,12.0,5.666666666666667
Charmin Ultra Bath Tissue,31.2,5.333333333333333
Cheese and Peanut Butter Crackers,9.6,4.666666666666667
Cheetos Flamin' Hot 1 oz,13.6,6.333333333333333
Cheez It Original Crackers 1.5oz,12.0,5.666666666666667
Cheez It White Cheddar 1.5 oz,18.0,6.0
Cherry Coke 12oz,8.1,9.0
Cherry Coke Zero 12 pack,5.4,5.0
Chewy Granola Variety Bars Quaker,10.4,8.333333333333334
Chex Mix Original,12.0,7.333333333333333
Chinet Comfort Hot Cups with Lids 16oz,11.2,8.333333333333334
Chobani Greek Yogurt Variety Pack ,12.8,5.666666666666667
Clear Plastic 12 oz Cups,11.2,5.0
Clear Plastic Cups 9oz,12.0,3.3333333333333335
Cliff Builders Protein Bar Variety Pack,19.2,4.666666666666667
Cliff Energy Bars Variety Pack,28.8,5.0
Clorox Bleach Large Jugs,12.8,5.333333333333333
Clorox Disinfecting Wipes ,15.6,6.0
Coffee-Mate French Vanilla Cold,12.0,6.0
Coffee-Mate Original Flavor Cold,4.8,6.666666666666667
Coffee-mate Original Powdered Creamer,8.0,4.666666666666667
Coke Classic 12 oz cans,13.0,10.056022090452927
Coke Zero Sugar 12 oz cans,13.0,5.666666666666667
Community Coffee Dark Roast,13.6,5.333333333333333
Crunchy Granola Bars Oats & Honey,14.4,7.0
Dark Chocolate Mint Patties,12.8,7.666666666666667
Dasani Bottled Water 16.9 oz,10.8,5.0
"Dawn Ultra Dish Detergent, Original Scent ",10.4,5.333333333333333
Deluxe Mixed Nuts with Seasalt,15.6,4.666666666666667
Detour Lower Sugar Protein Bar,27.6,6.0
Dial Anti-bacterial  Foam 7.5oz,8.8,4.666666666666667
Diet Coke - 12 oz cans,19.5,17.26345830485656
Diet Coke Caffeine Free 12oz cans,5.4,8.0
Diet Dr. Pepper - 12 oz cans,13.0,5.666666666666667
Diet Fuze Iced Tea,5.4,6.333333333333333
Diet Gingerale 12 oz cans,5.4,5.666666666666667
Diet Mountain Dew 12oz cans,8.1,6.0
Diet Pepsi - 12 oz cans,8.1,3.3333333333333335
Dixie Perfecttouch Paper Cups 12oz,15.6,5.666666666666667
Dole Fruit in Gel Cups 4.3 oz,10.0,3.3333333333333335
Doritos Nacho Cheese 1 oz,13.6,4.0
Double Bubble Variety Tub,9.6,4.0
Dr. Pepper - 12 oz cans,13.0,4.333333333333333
Dunkin Donuts Original Blend,24.0,4.0
Equal Sweetener,12.0,2.0
Extra Variety Packs Sugar Free,11.2,8.0
Famous Amos Cookies ,13.6,7.0
Fiber One 90 Calorie Fudge Brownies,19.2,4.666666666666667
Fiber One Bars Oats and Chocolate,18.0,9.0
Flamin Hot Chip Mix 1oz,13.6,7.0
Foam Coffee Cups - 08 ounce,28.8,7.0
Foam Coffee Cups - 12 ounce,25.6,7.0
Foam Coffee Cups - 16 ounce,19.2,6.333333333333333
Foam Coffee Cups - 20 ounce,23.2,4.0
Folgers 100% Colombian Coffee,12.0,3.0
Folgers Classic Roast Coffee,13.6,5.0
ForceFlex Trash Bags 13 Gal ,16.8,5.666666666666667
French Vanilla International Delight,12.0,5.333333333333333
Fresca Black Cherry - 12 oz cans,5.4,3.6666666666666665
Fresca Original - 12 oz cans,8.1,7.0
Fresca Peach Citrus - 12 oz cans,5.4,8.333333333333334
Frito BOLD Flavors Variety Pack,13.6,4.666666666666667
Frito Big Grab Variety 1.5-2.0 oz,20.4,4.333333333333333
Frito Bold Flavors Variety,20.4,3.6666666666666665
Frito Classic Mix Variety,13.6,6.666666666666667
Frito Fiesta Flavors Variety,13.6,7.0
Fuze Iced Tea,5.4,5.0
G2 Lo Calorie Variety 20 oz,16.0,6.0
Gardettos Snacks,12.8,7.0
Gatorade Frost Variety 12 oz,21.0,7.333333333333333
Gatorade Frost Variety 20 oz ,16.0,4.333333333333333
Gatorade Lemon Lime 12oz,9.6,3.3333333333333335
Gatorade Liberty Variety 12 oz,21.0,3.3333333333333335
Gatorade Liberty Variety 20 oz ,16.0,5.666666666666667
Gatorade Original Variety 12 oz,21.0,5.0
Gatorade Variety 20 oz ,24.0,8.666666666666666
Gatorade X-Factor Fierce Variety 20 oz,16.0,5.333333333333333
Gatorade Zero Variety 20 oz,16.0,5.0
Ginger Ale - 12 oz cans,8.1,7.0
"Go-Gurt Low Fat Yogurt, Strwbry & Berry ",9.6,2.3333333333333335
Goldfish Pepperidge Farm Cheddar 1.5oz ,18.0,7.333333333333333
"Goldfish Variety Bags, cheddar, pretzels",19.2,5.666666666666667
Half & Half -Land o Lakes Mini Moo's,12.8,4.0
Hand Sanitizer Refill Pump,10.4,4.333333333333333
Hawaiian Punch - 12 oz cans,5.4,8.333333333333334
Hazelnut International Delight,12.0,3.6666666666666665
Hefty Cmprtmnt Plates Foam 10',21.6,7.666666666666667
Hefty Supreme Foam Bowls 12oz,11.2,5.666666666666667
Hefty Supreme Foam Plates 6 inch,15.0,5.333333333333333
Hefty Supreme Foam Plates 9 inch,19.2,7.333333333333333
Hershey Chocoalte Minatures Assort.,15.2,6.0
Hershey Factory Favorites Mix,15.2,7.0
Hershey Kisses ,14.4,5.0
Hershey Nuggets,22.8,5.333333333333333
Honey Packets  ,54.0,2.0
Ice Breaker Mints Sugar Free ,16.8,3.6666666666666665
Jolly Ranchers Variety Hard Candy,18.0,4.0
K Cups - Green Tea,10.8,7.666666666666667
K Cups - McCafe Premium Roast,50.4,4.666666666666667
K Cups Daily Chef Columbian Supremo,42.4,6.333333333333333
K Cups Dunkin Donuts Medium Roast,57.6,6.0
K Cups Folgers Lively Columbian,36.8,6.0
K Cups Hot Cocoa,19.2,7.333333333333333
K Cups Original Donut Shop Med. Roast,42.4,7.0
K Cups  Starbuck's Pike Place,52.8,7.666666666666667
K Cups Organic Breakfast Blend,33.6,5.333333333333333
Keebler Cookie & Cracker Variety,12.0,4.666666666666667
"Kellogg Fun Mix Cheez it, Prngls, Fam Amos",16.8,6.666666666666667
Kellogg's Cereals Assortment Pack ,10.4,8.0
Kellogg's Fruity Snacks,18.0,2.0
Kind  Bars Mini Variety Pack 0.7 oz ,24.0,8.666666666666666
Kind  Bars Variety Pack 1.4 oz ,18.4,5.0
Kleenex Tissue Rectangle Boxes 160/box,24.0,4.666666666666667
Kleenex Tissue Square Boxes 75/box,16.0,6.0
La Croix Sparkling Berry 12 ozv,19.2,10.666666666666666
La Croix Sparkling Coconut 12 oz,12.8,7.0
La Croix Sparkling Cran-Raspberry 12 oz,19.2,6.0
La Croix Sparkling Grapefruit 12 oz,12.8,4.0
La Croix Sparkling Lemon 12 oz,12.8,5.666666666666667
La Croix Sparkling Lime 12 oz,12.8,4.333333333333333
La Croix Sparkling Orange 12 oz,12.8,2.3333333333333335
La Croix Sparkling Pure 12 oz,12.8,5.0
Lance Variety Cracker Packs ,16.2,4.0
Large Trash Bags Black 33 gal,25.2,8.0
Lunchables Variety Pack Oscar Meyer,9.6,4.0
Lysol Disinfectant Spray 19 oz,16.8,1.6666666666666667
Lysol Wipes 100 ct,31.2,3.3333333333333335
M&M Peanut Butter 1.6 oz,22.8,6.333333333333333
M&M Peanut Candy 1.7 oz,28.0,7.333333333333333
M&M Variety Full Size Bags,31.2,4.333333333333333
Mars Chocolate Favorites,15.2,5.666666666666667
Mars Mini Mix,22.8,7.0
Miss Vickies Chips,19.2,5.0
Monster Java 15 oz,18.4,9.0
Monster Lo-Carb 16 oz,48.0,10.666666666666666
Monster Original Green 16 oz,32.0,6.666666666666667
Monster Zero Ultra 16 oz,32.0,9.333333333333334
Monster Zero Ultra Variety 16 oz,32.0,5.333333333333333
Mountain Dew - 12 oz cans,19.5,3.3333333333333335
Muscle Milk Protein Shake Choc. 11oz,28.8,4.666666666666667
Muscle Milk Protein Shake Strbry. 11oz,17.6,4.0
Muscle Milk Protein Shake Van. 11oz,19.2,1.8254079991917667
"Nabisco Classic Mix ccooki, cracker",18.0,6.0
Nabisco Cookie Variety Pk Oreo/ChocChip,12.8,7.333333333333333
Napkins Square Lunch,12.0,6.0
Nat.Valley PeanutButter Protein Bars,14.4,5.0
Nature Valley Biscuit Sandwich Variety Pack ,20.4,8.333333333333334
Nature Valley Chewy Trail Mix Bars,19.2,6.333333333333333
Nature Valley Soft Oatmeal Squares   ,12.0,5.666666666666667
Nature Valley Sweet/Salty Almond Bars      ,16.8,7.666666666666667
Nature Valley Sweet/Salty Peanut Bars      ,16.8,7.666666666666667
Nestle Purelife 16oz ,6.0,3.3333333333333335
Njoy Creamer Canister 16 oz,11.2,7.0
Njoy Creamer Packs,19.8,8.666666666666666
Njoy Sugar Canister 22 oz,18.0,5.0
Ocean Spray Cranberry Juice Cocktail 15oz ,11.2,5.666666666666667
Ozarka Spring Water 16.9 oz bottles,8.0,7.0
Ozarka Spring Water 20 oz,15.6,8.0
Ozarka Spring Water Mini 8oz,13.2,6.333333333333333
POM 2 ply paper towels,26.4,9.333333333333334
Paper Bowls 20 oz Ultra Strong,16.8,5.666666666666667
Paper Plate 10 inch Ultra Strong,24.0,6.0
Paper Plates 7 inch  Ultra Strong,13.6,5.0
Paper Plates 8.5 inch Ultra Strong,16.8,5.333333333333333
Peanutbutter Filled Pretzels,8.8,6.666666666666667
Peppermints Hard Candy,9.6,3.3333333333333335
Pepsi - 12 oz cans,19.5,25.555892424419433
Perrier Flavors Sparkling Water 16.9oz,18.4,4.0
Perrier Sparkling Water glass 11oz,20.8,7.666666666666667
Perrier Sparkling Water plastic 16.9oz,26.4,9.0
Planters Nut Variety Packs,11.2,5.333333333333333
Planters Nut-trition 1.5 oz ,13.2,8.0
Plastic Forks White Heavyweight,12.0,6.666666666666667
Plastic Knives White  Heavyweight,12.0,7.333333333333333
Plastic Spoons White  Heavyweight,12.0,6.0
Pop Chips Variety bags,20.4,6.0
"Pop-Tarts, Brown Sugar Cinnamon ",14.4,6.333333333333333
"Pop-Tarts, Frosted Strawberry",9.6,7.666666666666667
Premier Protein Shake Choc. 11oz,26.4,3.3333333333333335
Pringles Snak Stacks Variety,11.2,7.0
Propel Zero Variety 20 oz,12.8,3.0
Pure Leaf Sweet Tea 8.5oz,13.6,9.0
Pure Leaf Unsweetened Tea 18.5oz,20.4,10.333333333333334
Pure White Sugar Packets,18.0,6.0
Quaker Instant Oatmeal Maple Brn Sugar,10.4,4.666666666666667
Quaker Instant Oatmeal Variety ,12.0,8.333333333333334
Red Bull 12oz,44.0,6.666666666666667
Red Bull 16oz,44.4,4.666666666666667
Red Bull 8.4 oz,32.0,8.666666666666666
Red Bull Sugar Free 8.4 oz,32.0,8.0
Red Plastic Cups 18oz,19.2,7.0
Reese's Peanutbutter Cups 2/pk,20.8,2.6666666666666665
Reese's Pieces Peanutbutter Candy,18.0,4.0
San Pelligrino 16oz Plastic ,27.6,4.666666666666667
"Sargento Bal. Breaks (fruit, nut, cheese)",18.0,7.0
Sargento String Cheese 0.75oz,9.6,8.666666666666666
Seven Up - 12 oz cans,13.8,6.333333333333333
Snapple Variety Pack 20oz,26.4,6.0
Snickers Bars 1.8oz,42.0,6.0
Snyders Pretzels Minis,21.6,4.666666666666667
Sobe Zero Lifewater Variety 20 oz,16.0,5.333333333333333
Splenda Sweetener,20.0,2.6666666666666665
Sprite - 12 oz cans,19.5,23.257559742830075
Sprite Zero - 12 pack,8.1,2.3333333333333335
Spunkmeyer Muffin Variety,15.6,6.666666666666667
Starbuck's Pike Place,27.0,5.0
Stirrers Coffee Stirs 7inch,13.6,3.6666666666666665
Strong Everyday Napkins,11.2,3.6666666666666665
Sugar in the Raw Packets,10.0,4.333333333333333
Sun Chips Variety Pack,20.4,5.666666666666667
Sunkist Orange - 12 oz cans,9.2,6.666666666666667
Sweet N Low Sweetener,19.2,8.666666666666666
Swiss Miss Hot Cocoa Mix 1 oz,11.2,4.333333333333333
Tejava Unsweetened Black Tea 16.9oz,34.8,1.6666666666666667
Tootsie Roll Midgets,14.4,6.666666666666667
Topo Chico 12 oz glass,22.4,5.666666666666667
Topo Chico 20oz plastic,28.8,4.0
Trident Original Flavor 18/pk,9.6,3.0
Tropicana Apple Juice 10 oz 100% ,14.4,8.0
Tropicana Orange Juice 10 oz 100% ,21.6,4.666666666666667
Truvia Natural Sweetener,21.6,7.0
Tylenol Extra Strength 2 pill packets,12.0,5.333333333333333
Unsalted Premium Blend Nuts,16.4,9.0
V-8 Splash Variety 20 oz,18.0,7.333333333333333
V8 100% Vegetable Juice 11oz cans,14.4,9.333333333333334
Veggie Chips 1oz ,18.0,4.333333333333333
Vita Coconut Water 10oz ,15.2,7.333333333333333
Waterloo Sparkling Blackcherry 12oz,6.4,9.0
Waterloo Sparkling Grapefruit 12oz,6.4,4.666666666666667
Waterloo Sparkling Lemon 12oz,6.4,7.666666666666667
Waterloo Sparkling Lime 12oz,9.6,5.333333333333333
Waterloo Sparkling Mango 12oz,6.4,4.666666666666667
Waterloo Sparkling Original 12oz,6.4,4.333333333333333
Waterloo Sparkling Watermelon 12oz,9.6,7.0
Welch's 100% Juice Variety10 oz,13.6,5.666666666666667
Wint O Green LifeSavers Sugar Free,19.2,5.333333333333333
Wonderful Pistachios (in shell),17.6,7.666666666666667
Yoplait Original Yogurt Variety Pack ,9.6,6.666666666666667
Zoo Animal Cookies/Crackers,11.2,8.0
